     index            Field [G]         Intensity []

         1                  200   -0.652431295651083
         2                200.4   -0.652420814234696
         3                200.8   -0.652702954786512
         4                201.2   -0.653509247506606
         5                201.6   -0.655039450969766
         6                  202   -0.657293568892937
         7                202.4   -0.659956078605374
         8                202.8   -0.662486412582966
         9                203.2   -0.664397153457694
        10                203.6   -0.665505894838159
        11                  204   -0.665954826151767
        12                204.4   -0.665998843782479
        13                204.8   -0.665775673287127
        14                205.2   -0.665275567023873
        15                205.6   -0.664506339092937
        16                  206   -0.663635378585388
        17                206.4   -0.662914760064064
        18                206.8   -0.662431001574341
        19                207.2   -0.661918827010964
        20                207.6   -0.660834422328459
        21                  208   -0.658653693995581
        22                208.4   -0.655189123387478
        23                208.8   -0.650744102366795
        24                209.2   -0.646046956342986
        25                209.6   -0.641994936126597
        26                  210   -0.639303343006937
        27                210.4   -0.638224069944736
        28                210.8   -0.638487879712946
        29                211.2   -0.639494337024908
        30                211.6   -0.640635076654934
        31                  212   -0.641586807309713
        32                212.4   -0.642422027796705
        33                212.8   -0.643451624880204
        34                213.2   -0.644885764233588
        35                213.6   -0.646584463502556
        36                  214   -0.648132149835148
        37                214.4   -0.649174594426597
        38                214.8   -0.649701171618669
        39                215.2   -0.650023305193928
        40                215.6   -0.650502577092747
        41                  216   -0.651291035172704
        42                216.4   -0.652285261011187
        43                216.8   -0.653280560975787
        44                217.2   -0.654163523001614
        45                217.6   -0.655001685454706
        46                  218   -0.656002916105296
        47                218.4   -0.657390322045438
        48                218.8   -0.659240546250092
        49                219.2   -0.661344083273998
        50                219.6   -0.663190784734807
        51                  220   -0.664160324422705
        52                220.4   -0.663845723703876
        53                220.8   -0.662286422220085
        54                221.2   -0.659920350592918
        55                221.6   -0.657284737866895
        56                  222   -0.654705434870676
        57                222.4   -0.652221035627831
        58                222.8   -0.649783104709157
        59                223.2   -0.647537091740447
        60                223.6   -0.645927941386529
        61                  224   -0.645532967279945
        62                224.4   -0.646743297294565
        63                224.8   -0.649509545198545
        64                225.2   -0.653301945904664
        65                225.6   -0.657295223321868
        66                  226   -0.660662170099132
        67                226.4   -0.662812876629295
        68                226.8   -0.663486256904561
        69                227.2    -0.66272900484966
        70                227.6    -0.66085106609835
        71                  228    -0.65838050278509
        72                228.4   -0.655961235580368
        73                228.8   -0.654154439096913
        74                229.2   -0.653201706549956
        75                229.6   -0.652893002587031
        76                  230   -0.652673769193516
        77                230.4   -0.651987588120508
        78                230.8   -0.650654427571071
        79                231.2   -0.649016288680304
        80                231.6   -0.647748639995468
        81                  232   -0.647484180285668
        82                232.4   -0.648485437802232
        83                232.8   -0.650515860615358
        84                233.2   -0.652951318842022
        85                233.6   -0.655092975911287
        86                  234   -0.656527778656042
        87                234.4   -0.657300378837385
        88                234.8   -0.657766020978843
        89                235.2   -0.658246696229569
        90                235.6   -0.658762205811582
        91                  236   -0.659016458480183
        92                236.4   -0.658614349300683
        93                236.8   -0.657348301334677
        94                237.2   -0.655372649891547
        95                237.6   -0.653151035698767
        96                  238   -0.651201673772002
        97                238.4   -0.649816358671576
        98                238.8   -0.648962933789615
        99                239.2   -0.648439837514197
       100                239.6   -0.648144803184448
       101                  240   -0.648223340965875
       102                240.4   -0.648956445232934
       103                240.8   -0.650463858820297
       104                241.2    -0.65247280197506
       105                241.6   -0.654374200830416
       106                  242   -0.655554564077191
       107                242.4   -0.655749729976277
       108                242.8   -0.655145388680557
       109                243.2   -0.654168256184745
       110                243.6   -0.653162208999618
       111                  244   -0.652208905434275
       112                244.4   -0.651205391951116
       113                244.8    -0.65010096451929
       114                245.2   -0.649088996898104
       115                245.6   -0.648600954554506
       116                  246   -0.649094525399222
       117                246.4   -0.650764756739777
       118                246.8   -0.653365802308701
       119                247.2   -0.656274142602421
       120                247.6    -0.65876163707078
       121                  248   -0.660289196157052
       122                248.4   -0.660639898506034
       123                248.8   -0.659890202775385
       124                249.2   -0.658353661336452
       125                249.6   -0.656555567427669
       126                  250   -0.655142038779671
       127                250.4   -0.654642130305454
       128                250.8   -0.655186539479119
       129                251.2   -0.656399973212233
       130                251.6   -0.657581592453593
       131                  252   -0.658075187554659
       132                252.4   -0.657594414397632
       133                252.8   -0.656300666267208
       134                253.2   -0.654609232286983
       135                253.6   -0.652901415230693
       136                  254   -0.651374942280356
       137                254.4   -0.650111145498499
       138                254.8   -0.649225619378196
       139                255.2   -0.648909990979119
       140                255.6   -0.649305885930154
       141                  256   -0.650331765692178
       142                256.4   -0.651643256830204
       143                256.8   -0.652797540841324
       144                257.2   -0.653508320695367
       145                257.6   -0.653790457007408
       146                  258   -0.653886815907718
       147                258.4   -0.654048764210776
       148                258.8   -0.654343267952171
       149                259.2   -0.654619701791058
       150                259.6   -0.654639245932793
       151                  260   -0.654245999494627
       152                260.4   -0.653441174188156
       153                260.8   -0.652336146984839
       154                261.2   -0.651085982044857
       155                261.6   -0.649888217496918
       156                  262   -0.649003031245284
       157                262.4    -0.64869997024284
       158                262.8   -0.649134599886953
       159                263.2   -0.650259158323901
       160                263.6   -0.651841663886741
       161                  264   -0.653565951276322
       162                264.4    -0.65513368667396
       163                264.8   -0.656312941179665
       164                265.2   -0.656935730214845
       165                265.6   -0.656903500009473
       166                  266   -0.656262496901481
       167                266.4   -0.655317700497221
       168                266.8   -0.654636613295471
       169                267.2   -0.654816113779181
       170                267.6   -0.656099383566788
       171                  268   -0.658146910811221
       172                268.4   -0.660213982812473
       173                268.8   -0.661640329801304
       174                269.2    -0.66224746576574
       175                269.6   -0.662323996090033
       176                  270    -0.66229142109967
       177                270.4   -0.662423100758223
       178                270.8   -0.662840012367113
       179                271.2   -0.663653815358901
       180                271.6   -0.664996280003329
       181                  272   -0.666861158910113
       182                272.4   -0.668923365676225
       183                272.8   -0.670543707066824
       184                273.2   -0.671016401307596
       185                273.6   -0.669923632245893
       186                  274   -0.667369739328212
       187                274.4   -0.663938812752207
       188                274.8   -0.660406035305431
       189                275.2   -0.657396903260518
       190                275.6   -0.655199200553401
       191                  276   -0.653789557441839
       192                276.4   -0.652982652773977
       193                276.8   -0.652584383981994
       194                277.2   -0.652501594202773
       195                277.6   -0.652791771213368
       196                  278   -0.653602462029668
       197                278.4   -0.654984064554457
       198                278.8   -0.656705517862324
       199                279.2   -0.658275131680104
       200                279.6   -0.659203769988664
       201                  280   -0.659296306021292
       202                280.4    -0.65872834775638
       203                280.8   -0.657892412795173
       204                281.2   -0.657190491403419
       205                281.6   -0.656911528280102
       206                  282   -0.657193475188469
       207                282.4   -0.658022174910718
       208                282.8   -0.659248700693064
       209                283.2   -0.660614664752657
       210                283.6    -0.66177391615377
       211                  284   -0.662336708340035
       212                284.4   -0.661985807553141
       213                284.8   -0.660647184255257
       214                285.2   -0.658593563915989
       215                285.6   -0.656361658833829
       216                  286    -0.65451418531151
       217                286.4    -0.65342245710531
       218                286.8   -0.653205446627379
       219                287.2   -0.653778340794326
       220                287.6   -0.654877639509886
       221                  288   -0.656055872504399
       222                288.4   -0.656779283272895
       223                288.8   -0.656676023228084
       224                289.2   -0.655759672785058
       225                289.6   -0.654406554844097
       226                  290   -0.653082326028563
       227                290.4   -0.652040658878311
       228                290.8   -0.651219355748624
       229                291.2   -0.650378030196825
       230                291.6      -0.649342215295
       231                  292   -0.648166261065488
       232                292.4   -0.647116365534546
       233                292.8   -0.646522154803651
       234                293.2   -0.646620578990668
       235                293.6   -0.647471698688354
       236                  294   -0.648947954463914
       237                294.4   -0.650777649297627
       238                294.8   -0.652638788267843
       239                295.2   -0.654285830223704
       240                295.6   -0.655657106642472
       241                  296   -0.656910187274484
       242                296.4   -0.658367521015139
       243                296.8   -0.660381926205787
       244                297.2   -0.663154254535032
       245                297.6   -0.666582018355071
       246                  298    -0.67023937042808
       247                298.4   -0.673512836195764
       248                298.8   -0.675802509235026
       249                299.2   -0.676681505988621
       250                299.6   -0.675983442646479
       251                  300   -0.673826792928034
       252                300.4   -0.670563216433566
       253                300.8   -0.666660840664837
       254                301.2   -0.662604149293488
       255                301.6   -0.658872456522189
       256                  302   -0.655931752594904
       257                302.4    -0.65412322549524
       258                302.8   -0.653466323097474
       259                303.2   -0.653563639062214
       260                303.6      -0.653780764568
       261                  304    -0.65366144083337
