     index            Field [G]         Intensity []
        63                224.8   -0.568581260396679
        64                225.2   -0.568022071911282
        65                225.6   -0.566332209610731
        66                  226   -0.563807233613741
        67                226.4   -0.561004233546019
        68                226.8   -0.558498593278551
        69                227.2   -0.556628981830732
        70                227.6   -0.555379350901431
        71                  228    -0.55445128453855
        72                228.4   -0.553470990116073
        73                228.8   -0.552214253283836
        74                229.2   -0.550729435638279
        75                229.6   -0.549299377729321
        76                  230    -0.54828330180403
        77                230.4   -0.547940793329212
        78                230.8   -0.548314799379387
        79                231.2   -0.549195892384806
        80                231.6   -0.550181627581094
        81                  232   -0.550848130390571
        82                232.4   -0.550974239102506
        83                232.8   -0.550651625012344
        84                233.2   -0.550164163976359
        85                233.6   -0.549743745867547
        86                  234   -0.549437621960618
        87                234.4   -0.549173817197332
        88                234.8     -0.5488955599466
        89                235.2   -0.548628893558402
        90                235.6   -0.548474851733072
        91                  236   -0.548554631473704
        92                236.4   -0.548912628730503
        93                236.8   -0.549440975015738
        94                237.2   -0.549937016548841
        95                237.6   -0.550276902820817
        96                  238   -0.550517821891233
        97                238.4   -0.550796235596738
        98                238.8   -0.551124206898534
        99                239.2   -0.551295853599714
       100                239.6    -0.55099026144336
       101                  240   -0.549984427714867
       102                240.4   -0.548334627195565
       103                240.8   -0.546419271907247
       104                241.2   -0.544802116993132
       105                241.6   -0.543978981970389
       106                  242   -0.544170405247319
       107                242.4   -0.545297223559694
       108                242.8   -0.547114901774424
       109                243.2   -0.549355503338763
       110                243.6   -0.551770863890281
       111                  244   -0.554107600919918
       112                244.4   -0.556103233636146
       113                244.8   -0.557534309067322
       114                245.2   -0.558272301380871
       115                245.6   -0.558294517032253
       116                  246   -0.557642921893626
       117                246.4   -0.556365670877918
       118                246.8   -0.554481083892406
       119                247.2   -0.551983122558303
       120                247.6   -0.548887704990414
       121                  248   -0.545304582163201
       122                248.4    -0.54149675241859
       123                248.8   -0.537872673999868
       124                249.2   -0.534886449199056
       125                249.6   -0.532892653168573
       126                  250     -0.5320436397185
       127                250.4   -0.532281691107063
       128                250.8   -0.533409425818774
       129                251.2    -0.53518575588095
       130                251.6    -0.53740352887536
       131                  252   -0.539930355796692
       132                252.4   -0.542707644236034
       133                252.8   -0.545697070549824
       134                253.2   -0.548769740827133
       135                253.6   -0.551589845685326
       136                  254   -0.553611444120927
       137                254.4   -0.554270812385099
       138                254.8   -0.553292811934469
       139                255.2   -0.550893811277048
       140                255.6    -0.54771968510549
       141                  256   -0.544557277527286
       142                256.4   -0.542009418507366
       143                256.8    -0.54032655319648
       144                257.2   -0.539472729003978
       145                257.6   -0.539330940412707
       146                  258   -0.539838350454537
       147                258.4   -0.540937981733786
       148                258.8   -0.542478527200788
       149                259.2   -0.544265252492963
       150                259.6   -0.546228998563487
       151                  260   -0.548470729808532
       152                260.4   -0.551085201934849
       153                260.8   -0.553963909671377
       154                261.2   -0.556788395567847
       155                261.6   -0.559158083318413
       156                  262   -0.560670344306449
