     index            Field [G]         Intensity []

         1                  200   -0.628675565437143
         2                200.4   -0.628265725656573
         3                200.8   -0.627968966773615
         4                201.2    -0.62794145883413
         5                201.6   -0.628326617064437
         6                  202   -0.629164384234202
         7                202.4   -0.630337034547904
         8                202.8    -0.63161592718117
         9                203.2   -0.632780495385063
        10                203.6    -0.63371173249941
        11                  204    -0.63438661024475
        12                204.4   -0.634782994305029
        13                204.8   -0.634789271774845
        14                205.2    -0.63422615965124
        15                205.6   -0.632992294327759
        16                  206    -0.63121791387765
        17                206.4    -0.62928170306273
        18                206.8    -0.62765125298436
        19                207.2   -0.626655450831579
        20                207.6   -0.626357586404864
        21                  208   -0.626612234409922
        22                208.4   -0.627226370999608
        23                208.8    -0.62806244937893
        24                209.2   -0.629009961409261
        25                209.6   -0.629914712523658
        26                  210   -0.630598866136384
        27                210.4   -0.630978972001411
        28                210.8   -0.631151908210479
        29                211.2   -0.631334957878186
        30                211.6   -0.631693161878106
        31                  212   -0.632203349307883
        32                212.4   -0.632675640485759
        33                212.8   -0.632911947186436
        34                213.2   -0.632860290503273
        35                213.6   -0.632634803776263
        36                  214   -0.632399936535835
        37                214.4   -0.632236118797879
        38                214.8   -0.632101634801155
        39                215.2   -0.631900133148416
        40                215.6   -0.631572512722942
        41                  216    -0.63113607387472
        42                216.4   -0.630661012443633
        43                216.8   -0.630225462778423
        44                217.2   -0.629891339772539
        45                217.6   -0.629710472229284
        46                  218   -0.629734138885888
        47                218.4   -0.629992011326366
        48                218.8   -0.630442969289617
        49                219.2   -0.630944048423962
        50                219.6   -0.631281416461636
        51                  220   -0.631258806641408
        52                220.4   -0.630793751324323
        53                220.8   -0.629965905222012
        54                221.2   -0.628993969913647
        55                221.6   -0.628163415419644
        56                  222   -0.627745369780176
        57                222.4    -0.62792104655856
        58                222.8   -0.628706812158587
        59                223.2   -0.629913237200244
        60                223.6   -0.631208639170294
        61                  224   -0.632292074030592
        62                224.4   -0.633053853988557
        63                224.8   -0.633584275996387
        64                225.2   -0.634039495490261
        65                225.6   -0.634520975795599
        66                  226   -0.635090505486151
        67                226.4   -0.635865186543043
        68                226.8   -0.637028316839335
        69                227.2   -0.638685198890088
        70                227.6   -0.640685108259468
        71                  228   -0.642601017505925
        72                228.4    -0.64392283051325
        73                228.8   -0.644324005510899
        74                229.2   -0.643806111843856
        75                229.6    -0.64264462512747
        76                  230   -0.641211282400162
        77                230.4   -0.639799123719356
        78                230.8    -0.63852895287676
        79                231.2   -0.637353560089126
        80                231.6   -0.636135900521171
        81                  232   -0.634745875264278
        82                232.4   -0.633113440596822
        83                232.8   -0.631224189875016
        84                233.2   -0.629107271530028
        85                233.6    -0.62686456994587
        86                  234   -0.624722774278856
        87                234.4   -0.623036415371902
        88                234.8   -0.622186715674532
        89                235.2   -0.622398382829845
        90                235.6   -0.623585336449694
        91                  236   -0.625358457973166
        92                236.4   -0.627223495794346
        93                236.8   -0.628831266114138
        94                237.2   -0.630089733194242
        95                237.6   -0.631081440825708
        96                  238   -0.631904165829031
        97                238.4    -0.63258104152617
        98                238.8   -0.633071660881526
        99                239.2   -0.633315654560752
       100                239.6   -0.633252958645469
       101                  240   -0.632835544260302
       102                240.4   -0.632069999446016
       103                240.8   -0.631083081479786
       104                241.2   -0.630146075188735
       105                241.6   -0.629600170084579
       106                  242   -0.629699614720374
       107                242.4   -0.630467386469941
       108                242.8   -0.631667221699334
       109                243.2   -0.632921300109816
       110                243.6   -0.633898643008199
       111                  244   -0.634448215907128
       112                244.4   -0.634600787636326
       113                244.8   -0.634474839273541
       114                245.2   -0.634189259577686
       115                245.6    -0.63384853486171
       116                  246   -0.633576536014844
       117                246.4   -0.633526815148807
       118                246.8   -0.633822916620929
       119                247.2   -0.634449983249061
       120                247.6   -0.635183997846091
       121                  248   -0.635658483317697
       122                248.4   -0.635587128142705
       123                248.8   -0.635012065364759
       124                249.2   -0.634362090937166
       125                249.6   -0.634208958574351
       126                  250     -0.6348584826464
       127                250.4   -0.636084434110498
       128                250.8   -0.637222141314479
       129                251.2   -0.637551525654963
       130                251.6   -0.636684522665836
       131                  252   -0.634718641341096
       132                252.4   -0.632139602619646
       133                252.8   -0.629610237153787
       134                253.2   -0.627761476641985
       135                253.6   -0.627015889467695
       136                  254   -0.627460908317805
       137                254.4   -0.628828807470619
       138                254.8   -0.630625204659307
       139                255.2   -0.632351952271703
       140                255.6    -0.63368980858318
       141                  256    -0.63453970775247
       142                256.4   -0.634947159865689
       143                256.8   -0.635022067245128
       144                257.2   -0.634921103201384
       145                257.6   -0.634842488217055
       146                  258   -0.634947642240098
       147                258.4   -0.635228230352295
       148                258.8   -0.635457404710545
       149                259.2   -0.635334330543751
       150                259.6   -0.634745028026191
       151                  260   -0.633907759133976
       152                260.4   -0.633240163678017
       153                260.8   -0.633045313542485
       154                261.2   -0.633299707166063
       155                261.6   -0.633722964380014
       156                  262   -0.634023904695358
       157                262.4   -0.634072365482246
       158                262.8   -0.633882141538647
       159                263.2   -0.633506369547166
       160                263.6   -0.632986637999921
       161                  264    -0.63237279176589
       162                264.4   -0.631742420279042
       163                264.8   -0.631184224971431
       164                265.2   -0.630768630505661
       165                265.6   -0.630524015966572
       166                  266   -0.630411868916436
       167                266.4   -0.630314718717028
       168                266.8   -0.630080099462775
       169                267.2   -0.629627280114301
       170                267.6   -0.629042799155897
       171                  268   -0.628565602863231
       172                268.4   -0.628435739591473
       173                268.8   -0.628694846067686
       174                269.2   -0.629093554439474
       175                269.6   -0.629214365346954
       176                  270   -0.628755715091488
       177                270.4   -0.627761485761882
       178                270.8   -0.626595382267052
       179                271.2    -0.62567509891651
       180                271.6   -0.625191391621469
       181                  272   -0.625028014920138
       182                272.4   -0.624897208649415
       183                272.8   -0.624533410212936
       184                273.2   -0.623795421401708
       185                273.6   -0.622652214310525
       186                  274   -0.621120731003376
       187                274.4   -0.619231323417713
       188                274.8   -0.617057556643459
       189                275.2     -0.6147868449963
       190                275.6   -0.612743808532787
       191                  276   -0.611285945004347
       192                276.4   -0.610616583485102
       193                276.8   -0.610678789471862
       194                277.2   -0.611236167313603
       195                277.6   -0.612060868776151
       196                  278   -0.613061152996372
       197                278.4   -0.614275756083446
       198                278.8   -0.615791451048967
       199                279.2   -0.617665114469811
       200                279.6   -0.619884302118414
       201                  280   -0.622366101674023
       202                280.4   -0.624985802461719
       203                280.8    -0.62761884214605
       204                281.2   -0.630167677823016
       205                281.6   -0.632546305988471
       206                  282   -0.634625983415755
       207                282.4   -0.636194977002113
       208                282.8   -0.636998101320774
       209                283.2   -0.636861350140489
       210                283.6   -0.635825000452131
       211                  284    -0.63418961565645
       212                284.4   -0.632430666411958
