     index            Field [G]         Intensity []

         1                  200   -0.646989550796365
         2                200.4   -0.647625624433402
         3                200.8   -0.647953702363102
         4                201.2   -0.647873454823817
         5                201.6    -0.64743594826889
         6                  202   -0.646918467507068
         7                202.4    -0.64674862677227
         8                202.8   -0.647275760323108
         9                203.2   -0.648551819340305
        10                203.6   -0.650287429225852
        11                  204   -0.652006191927875
        12                204.4   -0.653287736883146
        13                204.8   -0.653948297361509
        14                205.2   -0.654065221052232
        15                205.6   -0.653864050345132
        16                  206   -0.653566262947388
        17                206.4    -0.65328926893727
        18                206.8   -0.653031541646649
        19                207.2   -0.652727755504465
        20                207.6   -0.652336386678071
        21                  208   -0.651908912142011
        22                208.4   -0.651589140194762
        23                208.8   -0.651521946816958
        24                209.2   -0.651714994784473
        25                209.6   -0.651960611812085
        26                  210   -0.651914941778276
        27                210.4    -0.65130667113264
        28                210.8   -0.650106942251077
        29                211.2   -0.648513990936682
        30                211.6    -0.64679993882988
        31                  212   -0.645198742466177
        32                212.4    -0.64391124362342
        33                212.8   -0.643125205371834
        34                213.2   -0.642960227460065
        35                213.6   -0.643407490119741
        36                  214   -0.644364268791327
        37                214.4   -0.645711620024324
        38                214.8   -0.647312924716871
        39                215.2   -0.648950356453646
        40                215.6   -0.650336706251887
        41                  216    -0.65123732246908
        42                216.4   -0.651569871129136
        43                216.8   -0.651372311686781
        44                217.2   -0.650696471068582
        45                217.6   -0.649558780109391
        46                  218   -0.647990092953536
        47                218.4   -0.646111272901179
        48                218.8   -0.644145422086687
        49                219.2   -0.642353783649845
        50                219.6    -0.64095718633967
        51                  220   -0.640097048788623
        52                220.4   -0.639823171386439
        53                220.8   -0.640080173849396
        54                221.2   -0.640728659554666
        55                221.6   -0.641656334445713
        56                  222   -0.642927806224684
        57                222.4   -0.644818160446497
        58                222.8   -0.647639428479313
        59                223.2   -0.651449612976558
        60                223.6   -0.655840550078252
        61                  224   -0.659963319091981
        62                224.4   -0.662837104426749
        63                224.8    -0.66383722005617
        64                225.2   -0.663093028377338
        65                225.6   -0.661491412602674
        66                  226   -0.660213561425265
        67                226.4    -0.66008615812185
        68                226.8   -0.661166504245302
        69                227.2    -0.66278515309923
        70                227.6   -0.663955554901149
        71                  228   -0.663879467424251
        72                228.4   -0.662284294680231
        73                228.8   -0.659458421781702
        74                229.2   -0.656029267131029
        75                229.6    -0.65266086059875
        76                  230   -0.649844187838038
        77                230.4   -0.647838224777419
        78                230.8   -0.646713393139389
        79                231.2   -0.646423179918986
        80                231.6   -0.646855325126558
        81                  232   -0.647846476755772
        82                232.4   -0.649170934345696
        83                232.8   -0.650534788228968
        84                233.2   -0.651618623222221
        85                233.6   -0.652198008313574
        86                  234   -0.652304045431248
        87                234.4   -0.652291362487185
        88                234.8   -0.652671260092692
        89                235.2   -0.653733896784411
        90                235.6   -0.655227164506429
        91                  236   -0.656416107711096
        92                236.4   -0.656565567030207
        93                236.8   -0.655485939193102
        94                237.2   -0.653677769616139
        95                237.6   -0.651953542790081
        96                  238   -0.650873855862475
        97                238.4   -0.650458738658766
        98                238.8   -0.650335945457927
        99                239.2   -0.650095151109445
       100                239.6   -0.649503445196326
       101                  240   -0.648461751779292
       102                240.4   -0.646872088115833
       103                240.8   -0.644643721194701
       104                241.2   -0.641865713922541
       105                241.6   -0.638948997498459
       106                  242   -0.636526508190436
       107                242.4     -0.6351162622464
       108                242.8   -0.634806457138739
       109                243.2   -0.635258987618271
       110                243.6   -0.636059360056285
       111                  244   -0.637094801957278
       112                244.4   -0.638593174084277
       113                244.8   -0.640797401796836
       114                245.2   -0.643626959224319
       115                245.6   -0.646668604755855
       116                  246   -0.649461576664004
       117                246.4   -0.651740218431267
       118                246.8   -0.653408482861048
       119                247.2    -0.65437655098026
       120                247.6   -0.654531153102073
       121                  248   -0.653880255041919
       122                248.4   -0.652647638791184
       123                248.8    -0.65115107341096
       124                249.2   -0.649579564324316
       125                249.6   -0.647915329496223
