     index            Field [G]         Intensity []

         1                  200    -0.65746762433573
         2                200.4   -0.658635378182338
         3                200.8   -0.660185482537665
         4                201.2    -0.66196960824142
         5                201.6   -0.663566116398688
         6                  202   -0.664315128389114
         7                202.4   -0.663589580325883
         8                202.8   -0.661170761087345
         9                203.2    -0.65744193511736
        10                203.6   -0.653263497479495
        11                  204   -0.649652013377992
        12                204.4    -0.64746294156501
        13                204.8   -0.647166637738111
        14                205.2   -0.648716279571218
        15                205.6   -0.651547290733248
        16                  206   -0.654777710294594
        17                206.4   -0.657547824377134
        18                206.8   -0.659281255513459
        19                207.2   -0.659719562397771
        20                207.6   -0.658837639823206
        21                  208   -0.656854909305624
        22                208.4   -0.654353745747727
        23                208.8   -0.652272350332592
        24                209.2   -0.651604317323514
        25                209.6   -0.652949453185664
        26                  210   -0.656232376022837
        27                210.4   -0.660753132853153
        28                210.8   -0.665479120678703
        29                211.2   -0.669399595089255
        30                211.6   -0.671825238267624
        31                  212   -0.672556541214402
        32                212.4    -0.67184959467318
        33                212.8   -0.670187448699834
        34                213.2   -0.667999421043425
        35                213.6   -0.665497248654518
        36                  214   -0.662678575233416
        37                214.4   -0.659443416762531
        38                214.8   -0.655772441592807
        39                215.2   -0.651923217581782
        40                215.6   -0.648530868319959
        41                  216   -0.646468963477827
        42                216.4   -0.646462270636787
        43                216.8   -0.648655367132878
        44                217.2   -0.652425377673072
        45                217.6   -0.656604078538733
        46                  218   -0.660023925282023
        47                218.4   -0.662068807081114
        48                218.8   -0.662866696097867
        49                219.2   -0.663008163152641
        50                219.6   -0.663047791116067
        51                  220    -0.66318647308483
        52                220.4   -0.663302875688429
        53                220.8   -0.663183222622696
        54                221.2   -0.662721908557655
        55                221.6   -0.661998942209155
        56                  222     -0.6612344281976
        57                222.4   -0.660622727968109
        58                222.8    -0.66010811471272
        59                223.2   -0.659285599178615
        60                223.6   -0.657591652189778
        61                  224   -0.654708482518777
        62                224.4   -0.650874688449225
        63                224.8   -0.646849588246285
        64                225.2   -0.643572480720548
        65                225.6   -0.641773803693475
        66                  226   -0.641738185223984
        67                226.4    -0.64323423722285
        68                226.8   -0.645568380649223
        69                227.2   -0.647804572838921
        70                227.6   -0.649183437075397
        71                  228   -0.649556896433766
        72                228.4   -0.649484069350931
        73                228.8   -0.649836815321743
        74                229.2   -0.651209469893468
        75                229.6   -0.653603606214742
        76                  230   -0.656556329673465
        77                230.4   -0.659486952686533
        78                230.8   -0.661970444952772
        79                231.2   -0.663833719764852
        80                231.6   -0.665108262109162
        81                  232   -0.665892088503671
        82                232.4   -0.666191172913006
        83                232.8   -0.665839410822402
        84                233.2   -0.664565245694992
        85                233.6   -0.662187684076993
        86                  234   -0.658845368332266
        87                234.4   -0.655115570321876
        88                234.8   -0.651890455687359
        89                235.2   -0.649997898480489
        90                235.6   -0.649757256420842
        91                  236   -0.650779089788419
        92                236.4   -0.652193584103128
        93                236.8   -0.653181286294492
        94                237.2   -0.653437347573851
        95                237.6   -0.653246124004371
        96                  238   -0.653148893514234
